KO	EN	File	Pattern Type	Note
각 항목에 대한 설명은 아래를 참고하세요.	Refer to the descriptions below for each item.		Pattern	
우측 하단의 저장을 클릭합니다.	Click Save at the bottom right.		Pattern	
정렬을 클릭해 목록을 최신순 또는 오래된 순으로 정렬할 수 있습니다.	Click Sort to sort the list by newest or oldest.		Pattern	
상세 정보 화면이 표시됩니다.	The Details page appears.		Pattern	
적용을 클릭합니다.	Click Apply.		Pattern	
좌측 메뉴에서 규정을 클릭합니다.	Click Rule in the left menu.		Pattern	
좌측 메뉴에서 정책을 클릭합니다.	Click Policy in the left menu.		Pattern	
우측 상단의 수정을 클릭합니다.	Click Edit at the top right.		Pattern	
설정 수정 화면이 표시됩니다.	The Edit Settings page appears.		Pattern	
변경 사항이 적용됐는지 확인합니다.	Confirm that your changes have been applied.		Pattern	
상세 정보를 확인할 이력 위로 마우스를 올리면 표시되는 상세 정보를 클릭합니다.	Hover over a log to view its details, then click Details that appears.		Pattern	
펼치기를 클릭해 원하는 시간을 선택합니다.	Click Expand and select the desired time.		Pattern	
